pair_id,rgb_frame_idx,timestamp,section,rgb_error_ms,label,modality
pair_00000,31,2020-09-24T13:09:30.268000,1,11.413052290231152,thermal,thermal-rgb
pair_00001,31,2020-09-24T13:09:30.268000,1,11.413052290231152,thermal,thermal-rgb
pair_00002,31,2020-09-24T13:09:30.268000,1,11.413052290231152,thermal,thermal-rgb
pair_00003,31,2020-09-24T13:09:30.268000,1,11.413052290231152,thermal,thermal-rgb
pair_00004,31,2020-09-24T13:09:30.268000,1,11.413052290231152,thermal,thermal-rgb
pair_00005,56,2020-09-24T13:09:31.268000,2,1.963518443453438,thermal,thermal-rgb
pair_00006,56,2020-09-24T13:09:31.268000,2,1.963518443453438,thermal,thermal-rgb
pair_00007,56,2020-09-24T13:09:31.268000,2,1.963518443453438,thermal,thermal-rgb
pair_00008,56,2020-09-24T13:09:31.268000,2,1.963518443453438,thermal,thermal-rgb
pair_00009,56,2020-09-24T13:09:31.268000,2,1.963518443453438,thermal,thermal-rgb
pair_00010,56,2020-09-24T13:09:31.268000,2,1.963518443453438,thermal,thermal-rgb
pair_00011,56,2020-09-24T13:09:31.268000,2,1.963518443453438,thermal,thermal-rgb
pair_00012,81,2020-09-24T13:09:32.268000,3,15.34008917713825,thermal,thermal-rgb
pair_00013,81,2020-09-24T13:09:32.268000,3,15.34008917713825,thermal,thermal-rgb
pair_00014,81,2020-09-24T13:09:32.268000,3,15.34008917713825,thermal,thermal-rgb
pair_00015,81,2020-09-24T13:09:32.268000,3,15.34008917713825,thermal,thermal-rgb
pair_00016,81,2020-09-24T13:09:32.268000,3,15.34008917713825,thermal,thermal-rgb
pair_00017,81,2020-09-24T13:09:32.268000,3,15.34008917713825,thermal,thermal-rgb
pair_00018,81,2020-09-24T13:09:32.268000,3,15.34008917713825,thermal,thermal-rgb
pair_00019,81,2020-09-24T13:09:32.268000,3,15.34008917713825,thermal,thermal-rgb
pair_00020,105,2020-09-24T13:09:33.268000,4,11.818402918524207,thermal,thermal-rgb
pair_00021,105,2020-09-24T13:09:33.268000,4,11.818402918524207,thermal,thermal-rgb
pair_00022,105,2020-09-24T13:09:33.268000,4,11.818402918524207,thermal,thermal-rgb
pair_00023,105,2020-09-24T13:09:33.268000,4,11.818402918524207,thermal,thermal-rgb
pair_00024,105,2020-09-24T13:09:33.268000,4,11.818402918524207,thermal,thermal-rgb
pair_00025,105,2020-09-24T13:09:33.268000,4,11.818402918524207,thermal,thermal-rgb
pair_00026,105,2020-09-24T13:09:33.268000,4,11.818402918524207,thermal,thermal-rgb
pair_00027,105,2020-09-24T13:09:33.268000,4,11.818402918524207,thermal,thermal-rgb
pair_00028,130,2020-09-24T13:09:34.268000,5,1.5581678151601608,thermal,thermal-rgb
pair_00029,130,2020-09-24T13:09:34.268000,5,1.5581678151601608,thermal,thermal-rgb
pair_00030,130,2020-09-24T13:09:34.268000,5,1.5581678151601608,thermal,thermal-rgb
pair_00031,130,2020-09-24T13:09:34.268000,5,1.5581678151601608,thermal,thermal-rgb
pair_00032,130,2020-09-24T13:09:34.268000,5,1.5581678151601608,thermal,thermal-rgb
pair_00033,130,2020-09-24T13:09:34.268000,5,1.5581678151601608,thermal,thermal-rgb
pair_00034,130,2020-09-24T13:09:34.268000,5,1.5581678151601608,thermal,thermal-rgb
pair_00035,130,2020-09-24T13:09:34.268000,5,1.5581678151601608,thermal,thermal-rgb
pair_00036,155,2020-09-24T13:09:35.268000,6,14.934738548844528,thermal,thermal-rgb
