pair_id,rgb_frame_idx,timestamp,rgb_error_ms,label,modality
pair_00000,25,2020-09-24T13:09:30,13.37657073368459,thermal,thermal-rgb
pair_00001,28,2020-09-24T13:09:30.125000,9.981759221726616,thermal,thermal-rgb
pair_00002,31,2020-09-24T13:09:30.250000,6.5869477097688645,thermal,thermal-rgb
pair_00003,34,2020-09-24T13:09:30.375000,3.192136197811113,thermal,thermal-rgb
pair_00004,37,2020-09-24T13:09:30.500000,0.20267531414686069,thermal,thermal-rgb
pair_00005,49,2020-09-24T13:09:31,13.781921361978311,thermal,thermal-rgb
pair_00006,52,2020-09-24T13:09:31.125000,17.176732873936285,thermal,thermal-rgb
pair_00007,56,2020-09-24T13:09:31.250000,19.963518443453232,thermal,thermal-rgb
pair_00008,59,2020-09-24T13:09:31.375000,16.56870693149548,thermal,thermal-rgb
pair_00009,62,2020-09-24T13:09:31.500000,13.173895419537729,thermal,thermal-rgb
pair_00010,65,2020-09-24T13:09:31.625000,9.779083907579977,thermal,thermal-rgb
pair_00011,68,2020-09-24T13:09:31.750000,6.384272395622226,thermal,thermal-rgb
pair_00012,74,2020-09-24T13:09:32,0.40535062829372137,thermal,thermal-rgb
pair_00013,77,2020-09-24T13:09:32.125000,3.800162140251473,thermal,thermal-rgb
pair_00014,80,2020-09-24T13:09:32.250000,7.1949736522092245,thermal,thermal-rgb
pair_00015,83,2020-09-24T13:09:32.375000,10.58978516416742,thermal,thermal-rgb
pair_00016,86,2020-09-24T13:09:32.500000,13.984596676125172,thermal,thermal-rgb
pair_00017,89,2020-09-24T13:09:32.625000,17.379408188082923,thermal,thermal-rgb
pair_00018,93,2020-09-24T13:09:32.750000,19.760843129306593,thermal,thermal-rgb
pair_00019,96,2020-09-24T13:09:32.875000,16.366031617348842,thermal,thermal-rgb
pair_00020,99,2020-09-24T13:09:33,12.97122010539109,thermal,thermal-rgb
pair_00021,102,2020-09-24T13:09:33.125000,9.576408593432895,thermal,thermal-rgb
pair_00022,105,2020-09-24T13:09:33.250000,6.181597081475587,thermal,thermal-rgb
pair_00023,108,2020-09-24T13:09:33.375000,2.7867855695173915,thermal,thermal-rgb
pair_00024,111,2020-09-24T13:09:33.500000,0.6080259424408041,thermal,thermal-rgb
pair_00025,114,2020-09-24T13:09:33.625000,4.002837454398112,thermal,thermal-rgb
pair_00026,117,2020-09-24T13:09:33.750000,7.397648966356307,thermal,thermal-rgb
pair_00027,120,2020-09-24T13:09:33.875000,10.792460478314503,thermal,thermal-rgb
pair_00028,123,2020-09-24T13:09:34,14.18727199027181,thermal,thermal-rgb
pair_00029,126,2020-09-24T13:09:34.125000,17.582083502230006,thermal,thermal-rgb
pair_00030,130,2020-09-24T13:09:34.250000,19.558167815159955,thermal,thermal-rgb
pair_00031,133,2020-09-24T13:09:34.375000,16.16335630320176,thermal,thermal-rgb
pair_00032,136,2020-09-24T13:09:34.500000,12.768544791244452,thermal,thermal-rgb
pair_00033,139,2020-09-24T13:09:34.625000,9.373733279286256,thermal,thermal-rgb
pair_00034,142,2020-09-24T13:09:34.750000,5.97892176732806,thermal,thermal-rgb
pair_00035,145,2020-09-24T13:09:34.875000,2.584110255370753,thermal,thermal-rgb
